Date,Open,High,Low,Close,Volume,EU_Trend,Price
31/10/2012,166.470001,167.279999,166.380005,CLOSE,4681500,1,108.7
01/11/2012,167.020004,167.039993,166.039993,OPEN,6018000,0,108.17
02/11/2012,164.449997,164.470001,162.300003,CLOSE,14763100,0,105.68
05/11/2012,163.119995,163.419998,162.809998,OPEN,6156200,0,107.73
06/11/2012,163.910004,166.770004,163.610001,CLOSE,16051800,1,111.07
07/11/2012,166.869995,167.130005,165.039993,OPEN,13195200,0,106.82
08/11/2012,166.139999,168.160004,166.119995,CLOSE,8829000,0,107.25
09/11/2012,168.210007,168.539993,167.550003,OPEN,7361000,0,109.4
13/11/2012,166.660004,167.940002,166.630005,OPEN,6463300,0,108.26
14/11/2012,167.460007,168.039993,166.779999,CLOSE,8510500,1,109.61
15/11/2012,167,167.050003,165.179993,OPEN,10023200,1,110.98
16/11/2012,165.740005,166.360001,165.470001,CLOSE,6944000,0,108.95
19/11/2012,167.75,168.160004,167.380005,OPEN,6764500,1,111.7
20/11/2012,167.75,168.020004,166.839996,CLOSE,5496100,1,109.83
21/11/2012,167.190002,167.820007,166.970001,OPEN,3810700,1,110.86
23/11/2012,167.970001,170.009995,167.800003,CLOSE,6110100,1,111.38
26/11/2012,169.559998,169.729996,169.25,OPEN,5377700,0,110.92
27/11/2012,169.139999,169.399994,168.619995,CLOSE,7314400,0,109.87
28/11/2012,165.429993,166.839996,165.380005,OPEN,12880100,1,109.51
29/11/2012,167.139999,167.5,166.850006,CLOSE,7446800,1,110.76
30/11/2012,166.940002,167.220001,165.529999,OPEN,8412300,1,111.23
03/12/2012,166.110001,166.919998,166.039993,OPEN,6363400,1,110.92
04/12/2012,164.059998,164.830002,163.869995,CLOSE,10208900,1,109.84
05/12/2012,164.220001,164.5,163.199997,OPEN,10646800,0,108.81
06/12/2012,163.720001,165,163.529999,CLOSE,7301600,0,107.03
07/12/2012,164.880005,165.220001,164.600006,OPEN,7289500,0,107.02
10/12/2012,166.110001,166.160004,165.710007,CLOSE,4646600,1,107.33
11/12/2012,165.449997,165.660004,165.119995,OPEN,4724000,1,108.01
12/12/2012,166.199997,166.940002,165.360001,CLOSE,14164700,1,109.5
13/12/2012,163.869995,164.899994,163.779999,CLOSE,9332800,1,107.91
14/12/2012,164.169998,164.479996,164.020004,CLOSE,5351700,1,109.15
17/12/2012,164.160004,164.619995,164.130005,CLOSE,8173300,1,107.64
18/12/2012,164.350006,164.429993,160.899994,CLOSE,23995000,1,108.84
19/12/2012,161.309998,162.220001,161.110001,CLOSE,12991600,0,110.36
20/12/2012,159.869995,160.119995,158.389999,CLOSE,25148400,1,110.2
21/12/2012,159.820007,160.759995,159.779999,CLOSE,13445400,0,108.97
24/12/2012,160.880005,160.960007,160.470001,CLOSE,3699400,0,108.8
26/12/2012,161.360001,161.490005,160.639999,CLOSE,4961800,1,111.07
27/12/2012,160.229996,161.309998,160.050003,CLOSE,8937700,1,110.8
28/12/2012,160.940002,160.970001,160.149994,CLOSE,6852900,0,110.62
31/12/2012,160.899994,162.75,160.770004,CLOSE,11786200,0,111.11
02/01/2013,163.490005,164.139999,163.139999,CLOSE,10431800,0,112.47
03/01/2013,162.479996,162.880005,160.830002,CLOSE,16117500,0,112.14
04/01/2013,159.520004,160.630005,158.889999,CLOSE,19179800,1,111.31
07/01/2013,159.360001,159.960007,159.149994,CLOSE,9361800,1,111.4
08/01/2013,160.460007,160.990005,160.009995,CLOSE,7694800,0,111.94
09/01/2013,160.770004,160.830002,159.899994,CLOSE,8334200,0,111.76
10/01/2013,161.610001,162.559998,161.610001,CLOSE,11432600,1,111.89
11/01/2013,161.860001,161.899994,160.110001,CLOSE,13675600,1,110.64
14/01/2013,161.880005,161.970001,161.130005,CLOSE,7289000,1,111.88
15/01/2013,162.800003,163.169998,162.350006,CLOSE,10077800,0,110.3
16/01/2013,162.419998,163.029999,162.149994,CLOSE,9214700,0,110.61
17/01/2013,161.940002,164.399994,161.830002,CLOSE,14911400,1,111.1
18/01/2013,163.949997,163.970001,163.020004,CLOSE,10038100,0,111.89
22/01/2013,163.479996,164.220001,163.369995,CLOSE,8587900,1,112.42
23/01/2013,163.919998,163.949997,163,CLOSE,6697000,0,112.8
24/01/2013,161.979996,162.270004,161.179993,CLOSE,13188300,1,113.28
25/01/2013,160.559998,161.039993,160.309998,CLOSE,9037400,1,113.28
28/01/2013,160.240005,160.729996,160.020004,CLOSE,8491600,0,113.48
29/01/2013,161.009995,161.309998,160.690002,CLOSE,7364900,1,114.36
30/01/2013,162.679993,163.039993,162.029999,CLOSE,12010000,1,114.9
31/01/2013,161.619995,161.809998,160.470001,CLOSE,9334000,1,115.55
01/02/2013,162.660004,162.770004,160.869995,CLOSE,12904300,1,116.76
04/02/2013,161.190002,162.419998,161.149994,CLOSE,7354900,0,115.6
05/02/2013,162.75,162.789993,161.330002,CLOSE,8979400,1,116.52
06/02/2013,162.130005,162.630005,161.990005,CLOSE,6138700,0,116.73
07/02/2013,161.240005,162.960007,161.130005,CLOSE,12827200,0,117.24
08/02/2013,161.460007,162.020004,161.199997,CLOSE,6085900,0,118.9
11/02/2013,159.779999,159.979996,159.25,CLOSE,12083500,1,118.13
12/02/2013,159.350006,160.050003,158.880005,CLOSE,7632300,1,118.66
13/02/2013,159.600006,159.639999,158.770004,CLOSE,8961300,0,118.72
14/02/2013,159.309998,159.649994,158.039993,CLOSE,12410200,0,118
15/02/2013,156.419998,156.580002,154.559998,CLOSE,23374100,1,117.66
19/02/2013,155.800003,155.839996,154.929993,CLOSE,11803900,1,117.52
20/02/2013,153.899994,153.929993,150.839996,CLOSE,30924000,0,115.6
21/02/2013,152,153.410004,151.899994,CLOSE,17964800,0,113.53
22/02/2013,152.259995,152.990005,151.929993,CLOSE,10093200,1,114.1
25/02/2013,153.520004,154.559998,153.309998,CLOSE,9488200,0,114.44
26/02/2013,154.389999,156.800003,153.320007,CLOSE,18182300,1,112.71
27/02/2013,155.460007,155.600006,154.080002,CLOSE,9596100,1,111.87
28/02/2013,154.089996,154.160004,152.389999,CLOSE,14864400,0,111.38
01/03/2013,153.160004,153.610001,152.139999,CLOSE,11178800,0,110.4
04/03/2013,152.449997,152.740005,151.869995,CLOSE,6643800,1,110.09
05/03/2013,153.100006,153.389999,152.110001,CLOSE,10804200,1,111.61
06/03/2013,152.169998,153.380005,151.649994,CLOSE,10856000,0,111.06
07/03/2013,153.020004,153.210007,152.399994,CLOSE,6586700,1,111.15
08/03/2013,151.610001,153.289993,151.399994,CLOSE,11859500,0,110.85
11/03/2013,152.820007,153.059998,152.649994,CLOSE,4810700,1,110.22
12/03/2013,154.070007,154.690002,153.899994,CLOSE,7265700,0,109.65
13/03/2013,154.259995,154.600006,153.419998,CLOSE,7436400,0,108.52
14/03/2013,153.020004,154.169998,153.009995,CLOSE,11410400,1,109.42
15/03/2013,154.119995,154.720001,153.970001,CLOSE,5701300,1,109.82
18/03/2013,155.699997,155.929993,155,CLOSE,9302400,0,109.51
19/03/2013,155.220001,156.339996,155.100006,CLOSE,11023400,0,107.45
20/03/2013,155.529999,155.830002,154.880005,CLOSE,8221500,1,108.72
21/03/2013,156.169998,156.429993,155.880005,CLOSE,4992000,0,107.47
22/03/2013,155.449997,155.990005,155.419998,CLOSE,4746300,1,107.66
25/03/2013,154.710007,155.570007,154.360001,CLOSE,6819100,0,108.17
26/03/2013,154.470001,154.910004,154.279999,CLOSE,7388700,1,109.36
27/03/2013,154.669998,155.619995,154.509995,CLOSE,6717000,0,109.69
28/03/2013,154.5,154.800003,154.220001,CLOSE,6851200,1,110.02
01/04/2013,154.570007,154.929993,154.300003,CLOSE,4288100,1,111.08
02/04/2013,153.089996,153.309998,152.259995,CLOSE,9398300,0,110.69
03/04/2013,152.020004,152.529999,149.919998,CLOSE,15740800,1,107.11
04/04/2013,149.649994,150.600006,149.440002,CLOSE,12429000,1,106.34
05/04/2013,151.539993,152.960007,151.070007,CLOSE,14491800,1,104.12
08/04/2013,152.389999,152.589996,151.600006,CLOSE,6246000,1,104.66
09/04/2013,152.320007,153.850006,152.279999,CLOSE,7042200,1,106.23
10/04/2013,152.669998,152.710007,150.580002,CLOSE,18507400,0,105.79
11/04/2013,150.759995,151.710007,150.630005,CLOSE,8063200,1,104.27
12/04/2013,148.649994,148.850006,143.429993,CLOSE,55601800,1,103.11
15/04/2013,136,136.75,130.509995,CLOSE,93804200,0,100.39
01/05/2013,140.589996,141.550003,139.300003,CLOSE,13931100,1,99.95
02/05/2013,142,142.470001,141.639999,CLOSE,11502200,0,102.85
03/05/2013,141.699997,142.710007,141.399994,CLOSE,11667100,1,104.19
06/05/2013,142.330002,142.460007,141.630005,CLOSE,7730300,0,105.46
07/05/2013,140.380005,140.639999,139.369995,CLOSE,13627400,1,104.4
08/05/2013,141.779999,142.809998,141.490005,CLOSE,11161100,1,104.34
09/05/2013,141.330002,142.360001,140.509995,CLOSE,8263000,0,104.47
10/05/2013,138.220001,139.75,137.259995,CLOSE,14650600,0,103.91
13/05/2013,138.460007,138.970001,138.160004,CLOSE,6714100,0,102.82
14/05/2013,137.949997,139.160004,137.639999,CLOSE,9895700,0,102.6
15/05/2013,136.589996,136.979996,134.229996,CLOSE,19062400,0,103.68
16/05/2013,133.179993,134.479996,133,CLOSE,12759200,0,103.8
17/05/2013,133.169998,133.479996,131.020004,CLOSE,20346500,0,104.64
20/05/2013,130.880005,135.320007,130.850006,CLOSE,21594000,1,104.8
21/05/2013,132.169998,133.649994,131.449997,CLOSE,14542500,1,103.91
22/05/2013,134.179993,136.770004,130.949997,CLOSE,25975200,0,102.6
23/05/2013,134.509995,134.839996,133.119995,CLOSE,10267600,1,102.44
24/05/2013,134.110001,134.509995,133.639999,CLOSE,5522600,0,102.64
28/05/2013,133.679993,135.570007,132.800003,CLOSE,12466400,0,104.23
29/05/2013,134.089996,134.910004,133.639999,CLOSE,8762200,1,102.43
30/05/2013,136.669998,137.110001,136.259995,CLOSE,8611700,1,102.19
31/05/2013,135.710007,136.050003,133.889999,CLOSE,9726600,0,100.39
03/06/2013,134.770004,136.979996,134.429993,CLOSE,9173000,1,102.06
04/06/2013,135.210007,135.440002,134.270004,CLOSE,5505200,1,103.24
05/06/2013,135.470001,136.369995,135.009995,CLOSE,7444900,1,103.04
06/06/2013,135.389999,137.619995,134.979996,CLOSE,9847700,1,103.61
07/06/2013,134.110001,134.619995,133.179993,CLOSE,11054400,0,104.56
10/06/2013,133.300003,134.279999,132.990005,CLOSE,6142800,1,103.95
11/06/2013,132.309998,133.509995,132.240005,CLOSE,7199300,1,102.96
12/06/2013,132.949997,134.830002,132.830002,CLOSE,6550600,1,103.49
13/06/2013,133.309998,134.199997,132.820007,CLOSE,7161800,1,104.25
14/06/2013,134,134.600006,133.880005,CLOSE,4278700,0,105.93
17/06/2013,133.889999,134.059998,133.520004,CLOSE,4072300,1,105.47
18/06/2013,132.720001,132.960007,131.529999,CLOSE,7379300,1,106.02
19/06/2013,132.580002,133.149994,130.380005,CLOSE,13017800,0,106.12
20/06/2013,125.220001,126.379997,123.330002,CLOSE,28872100,0,102.15
21/06/2013,125.160004,125.57,124.459999,CLOSE,16600000,0,100.91
24/06/2013,124.309998,124.699997,123.309998,CLOSE,12749300,0,101.16
25/06/2013,123.650002,123.900002,122.879997,CLOSE,9369200,0,101.26
01/07/2013,119.940002,121.949997,119.379997,CLOSE,15945200,1,103
02/07/2013,121.339996,121.470001,119.779999,CLOSE,10550300,0,104
03/07/2013,120.699997,121.769997,120.540001,CLOSE,6750300,1,105.76
05/07/2013,118.080002,118.18,116.739998,CLOSE,11592500,0,107.72
08/07/2013,119.089996,119.660004,118.93,CLOSE,8652200,1,107.43
09/07/2013,120.839996,121.510002,120.050003,CLOSE,8201400,0,107.81
10/07/2013,121.150002,122.349998,120.589996,CLOSE,14697100,1,108.51
11/07/2013,124.260002,124.360001,123.470001,CLOSE,11279400,1,107.73
12/07/2013,123.519997,124.300003,123.32,CLOSE,6583800,0,108.81
15/07/2013,124.080002,124.389999,123.839996,CLOSE,4133200,0,109.09
16/07/2013,124.760002,125.209999,124.330002,CLOSE,5577300,1,109.4
17/07/2013,125.040001,125.699997,122.730003,CLOSE,10882400,0,108.61
18/07/2013,124.110001,124.519997,123.779999,CLOSE,6150900,0,108.7
19/07/2013,124.889999,125.419998,124.650002,CLOSE,5767800,1,108.07
22/07/2013,127.650002,129.460007,127.589996,CLOSE,10851900,1,108.15
23/07/2013,128.699997,130.139999,128.350006,CLOSE,8820100,1,108.42
24/07/2013,129.169998,129.399994,126.870003,CLOSE,9979100,0,107.19
25/07/2013,127.699997,128.869995,127.639999,CLOSE,4702400,1,107.65
26/07/2013,128.110001,128.970001,126.779999,CLOSE,6148500,1,107.17
29/07/2013,128.449997,128.779999,128.25,CLOSE,3554100,0,107.45
30/07/2013,127.949997,128.309998,127.220001,CLOSE,4487700,1,106.91
01/08/2013,127.839996,127.889999,126.330002,CLOSE,10564300,0,109.54
02/08/2013,126.739998,127.25,126.32,CLOSE,6466300,1,108.95
05/08/2013,126.510002,126.639999,125.339996,CLOSE,4003900,0,108.7
06/08/2013,124.330002,124.550003,123.550003,CLOSE,6016200,1,108.18
07/08/2013,124,124.599998,123.849998,CLOSE,5304700,1,107.44
08/08/2013,124.779999,126.989998,124.769997,CLOSE,8653600,1,106.68
